model,tag,completed_updates,wall_time,value
fm,sub_loss/val_prior_loss_epoch,76000,1789403827.7875247,0.9658120274543762
fm,sub_loss/val_prior_loss_epoch,77000,1789404249.3893309,0.9660549759864807
fm,sub_loss/val_prior_loss_epoch,78000,1789404671.2938821,0.9661158323287964
fm,sub_loss/val_prior_loss_epoch,79000,1789405089.0653324,0.965766429901123
fm,sub_loss/val_prior_loss_epoch,80000,1789405507.1823213,0.965920090675354
fm,sub_loss/val_prior_loss_epoch,81000,1789405946.1167977,0.9658375978469849
fm,sub_loss/val_prior_loss_epoch,82000,1789406374.4166865,0.9659129977226257
fm,sub_loss/val_prior_loss_epoch,83000,1789406794.2320266,0.9659140706062317
fm,sub_loss/val_prior_loss_epoch,84000,1789407214.223881,0.9659423828125
fm,sub_loss/val_prior_loss_epoch,85000,1789407637.8745975,0.9656499624252319
fm,sub_loss/val_prior_loss_epoch,86000,1789408075.4561915,0.9657306671142578
fm,sub_loss/val_prior_loss_epoch,87000,1789408504.0714228,0.96592777967453
fm,sub_loss/val_prior_loss_epoch,88000,1789408917.2120156,0.9659830331802368
fm,sub_loss/val_prior_loss_epoch,89000,1789409332.6236022,0.9659425616264343
fm,sub_loss/val_prior_loss_epoch,90000,1789409748.5444407,0.9660553932189941
fm,sub_loss/val_prior_loss_epoch,91000,1789410190.1056473,0.9660010933876038
fm,sub_loss/val_prior_loss_epoch,92000,1789410612.6280847,0.96596360206604
fm,sub_loss/val_prior_loss_epoch,93000,1789411026.3486762,0.9660521149635315
fm,sub_loss/val_prior_loss_epoch,94000,1789411442.2677758,0.9658046960830688
fm,sub_loss/val_prior_loss_epoch,95000,1789411861.5138285,0.9658637642860413
fm,sub_loss/val_prior_loss_epoch,96000,1789412301.0146294,0.9659249782562256
fm,sub_loss/val_prior_loss_epoch,97000,1789412754.2890208,0.9659842252731323
fm,sub_loss/val_prior_loss_epoch,98000,1789413172.6534307,0.9657474160194397
fm,sub_loss/val_prior_loss_epoch,99000,1789413596.554154,0.9659750461578369
fm,sub_loss/val_prior_loss_epoch,100000,1789414019.6824214,0.965675950050354
fm,sub_loss/val_prior_loss_epoch,101000,1789414460.0324388,0.9659761786460876
fm,sub_loss/val_prior_loss_epoch,102000,1789414896.5812728,0.9658163785934448
fm,sub_loss/val_prior_loss_epoch,103000,1789415310.5903573,0.9659844636917114
fm,sub_loss/val_prior_loss_epoch,104000,1789415732.9025419,0.9660211801528931
fm,sub_loss/val_prior_loss_epoch,105000,1789416144.9667883,0.9658908247947693
fm,sub_loss/val_prior_loss_epoch,106000,1789416582.5880017,0.9661734700202942
fm,sub_loss/val_prior_loss_epoch,107000,1789417002.9232051,0.9660940170288086
fm,sub_loss/val_prior_loss_epoch,108000,1789417415.3430226,0.9661931991577148
fm,sub_loss/val_prior_loss_epoch,109000,1789417832.0402913,0.966154158115387
fm,sub_loss/val_prior_loss_epoch,110000,1789418244.2530642,0.9658365249633789
fm,sub_loss/val_prior_loss_epoch,111000,1789418682.4418907,0.965722382068634
fm,sub_loss/val_prior_loss_epoch,112000,1789419101.950274,0.9659444093704224
fm,sub_loss/val_prior_loss_epoch,113000,1789419515.2364879,0.9660584926605225
fm,sub_loss/val_prior_loss_epoch,114000,1789419931.8156173,0.9661110043525696
fm,sub_loss/val_prior_loss_epoch,115000,1789420346.116784,0.9660333395004272
fm,sub_loss/val_prior_loss_epoch,116000,1789420784.1814344,0.9661684632301331
fm,sub_loss/val_prior_loss_epoch,117000,1789421204.7097478,0.9660202264785767
fm,sub_loss/val_prior_loss_epoch,118000,1789421617.5837686,0.9661685824394226
fm,sub_loss/val_prior_loss_epoch,119000,1789422031.2549357,0.9659152626991272
fm,sub_loss/val_prior_loss_epoch,120000,1789422444.600389,0.9661044478416443
fm,sub_loss/val_prior_loss_epoch,121000,1789422881.52604,0.9661319851875305
fm,sub_loss/val_prior_loss_epoch,122000,1789423299.5386293,0.9659649729728699
fm,sub_loss/val_prior_loss_epoch,123000,1789423714.7461894,0.9659954309463501
fm,sub_loss/val_prior_loss_epoch,124000,1789424127.3887372,0.9660428166389465
fm,sub_loss/val_prior_loss_epoch,125000,1789424545.4160845,0.9661203622817993
fm,sub_loss/val_prior_loss_epoch,126000,1789424980.1478007,0.9662935137748718
fm,sub_loss/val_prior_loss_epoch,127000,1789425413.242902,0.966009795665741
fm,sub_loss/val_prior_loss_epoch,128000,1789425827.691,0.9659266471862793
fm,sub_loss/val_prior_loss_epoch,129000,1789426241.6936178,0.9660851359367371
fm,sub_loss/val_prior_loss_epoch,130000,1789426654.9039614,0.9659112691879272
fm,sub_loss/val_prior_loss_epoch,131000,1789427086.3223016,0.9664924740791321
fm,sub_loss/val_prior_loss_epoch,132000,1789427507.727143,0.9660401344299316
fm,sub_loss/val_prior_loss_epoch,133000,1789427923.2651298,0.9660138487815857
fm,sub_loss/val_prior_loss_epoch,134000,1789428338.3688192,0.9661739468574524
fm,sub_loss/val_prior_loss_epoch,135000,1789428752.232388,0.9660560488700867
fm,sub_loss/val_prior_loss_epoch,136000,1789429187.2506135,0.9661262631416321
fm,sub_loss/val_prior_loss_epoch,137000,1789429608.940786,0.9660798907279968
fm,sub_loss/val_prior_loss_epoch,138000,1789430023.2469182,0.9660707116127014
fm,sub_loss/val_prior_loss_epoch,139000,1789430437.788367,0.9663088917732239
fm,sub_loss/train_diff_loss_epoch,340,1789371873.4186244,0.2397625595331192
fm,sub_loss/train_diff_loss_epoch,680,1789372011.5931096,0.20214025676250458
fm,sub_loss/train_diff_loss_epoch,1020,1789372156.2789896,0.19776654243469238
fm,sub_loss/train_diff_loss_epoch,1360,1789372294.9057496,0.1966906040906906
fm,sub_loss/train_diff_loss_epoch,1700,1789372432.583659,0.1932351440191269
fm,sub_loss/train_diff_loss_epoch,2040,1789372574.638101,0.19124062359333038
fm,sub_loss/train_diff_loss_epoch,2380,1789372720.2917929,0.18964740633964539
fm,sub_loss/train_diff_loss_epoch,2720,1789372872.9741561,0.19013459980487823
fm,sub_loss/train_diff_loss_epoch,3060,1789373022.2120268,0.1891772300004959
fm,sub_loss/train_diff_loss_epoch,3400,1789373158.8470984,0.18621867895126343
